,PREDIO,ESTADO,ESTRATO,AREA_PRIVADA,AREA_LOTE,VALORCOMERCIAL,VALORM2,LONGITUD,LATITUD
0,0,0,3,126,76,300000000,2380952,-75.59396631,6.19830091
1,0,0,3,47,14,150000000,3191489,-75.60971395,6.28561574
2,0,0,3,47,14,160000000,3404255,-75.60971395,6.28561574
3,0,0,3,47,14,150000000,3191489,-75.60971395,6.28561574
4,0,0,3,50,18,175000000,3500000,-75.60927162,6.28522799
5,0,0,3,50,18,170000000,3400000,-75.60927162,6.28522799
6,0,0,3,52,18,150000000,2884615,-75.60927162,6.28522799
7,0,0,3,52,17,155000000,2980769,-75.60927162,6.28522799
8,0,0,4,71,16,340000000,4788732,-75.59139901,6.27051874
9,0,0,4,64,15,310000000,4843750,-75.59086143,6.26926496
10,0,0,4,67,15,320000000,4776119,-75.59139901,6.27051874
11,0,0,4,64,15,292000000,4562500,-75.59086143,6.26926496
12,0,0,4,86,15,416000000,4837209,-75.59007,6.27062346
13,0,0,4,75,13,365000000,4866667,-75.59007,6.27062346
14,0,0,4,70,20,320000000,4571429,-75.58930377,6.26874735
15,0,0,4,48,13,250000000,5208333,-75.59178686,6.27006898
16,0,0,4,63,19,330000000,5238095,-75.59178686,6.27006898
17,0,0,4,64,17,270000000,4218750,-75.59178686,6.27006898
18,0,0,4,89,15,430000000,4831461,-75.59043285,6.26973696
19,0,0,4,38,9,120000000,3157895,-75.59637123,6.27927074
20,0,0,4,37,9,115000000,3108108,-75.59637123,6.27927074
21,0,0,5,67,25,380000000,5671642,-75.5920807,6.25877456
22,0,0,4,30,4,130000000,4333333,-75.56024477,6.24323332
23,0,0,3,111,46,200000000,1801802,-75.56121987,6.31051482
24,0,0,3,52,682,219500000,4221154,-75.55372832,6.23453424
25,0,0,3,141,42,190000000,1347518,-75.5843185,6.28960918
26,0,0,3,78,41,160000000,2051282,-75.57067773,6.30772058
27,0,0,2,71,23,135000000,1901408,-75.57614107,6.30501424
28,0,0,5,76,28,340000000,4473684,-75.58505412,6.27554994
29,0,0,5,71,26,290000000,4084507,-75.58371059,6.27560023
30,0,0,3,130,32,340000000,2615385,-75.56489395,6.30581832
31,0,0,3,54,34,135000000,2500000,-75.56619762,6.30685004
32,0,0,5,75,46,230000000,3066667,-75.59870848,6.20553915
33,0,0,4,63,13,420000000,6666667,-75.60220586,6.20179671
34,0,0,5,96,41,470000000,4895833,-75.60699788,6.21581188
35,0,0,5,76,28,340000000,4473684,-75.58505412,6.27554994
36,0,0,3,100,34,470000000,4700000,-75.58569951,6.27413785
37,0,0,3,72,29,320000000,4444444,-75.58569951,6.27413785
38,0,0,5,83,801,395000000,4759036,-75.58562901,6.27393236
39,0,0,5,82,29,345000000,4207317,-75.58393705,6.27374277
40,0,0,5,82,29,345000000,4207317,-75.58393705,6.27374277
41,0,0,5,77,28,339000000,4402597,-75.58393705,6.27374277
42,0,0,4,67,15,350000000,5223881,-75.59139901,6.27051874
43,0,0,5,120,41,540000000,4500000,-75.60699788,6.21581188
44,0,0,5,81,374,290000000,3580247,-75.58411272,6.27419172
45,0,0,5,101,36,440000000,4356436,-75.60301181,6.21931035
46,0,0,5,69,1261,344000000,4985507,-75.58532658,6.27416043
47,0,0,5,72,1261,351000000,4875000,-75.58532658,6.27416043
48,0,0,4,72,16,390000000,5416667,-75.59139901,6.27051874
49,0,0,5,90,27,477000000,5300000,-75.59286064,6.23814483
50,0,0,4,78,13,370000000,4743590,-75.59043285,6.26973696
51,0,0,4,89,15,440000000,4943820,-75.59043285,6.26973696
52,0,0,4,56,16,280000000,5000000,-75.58930377,6.26874735
53,0,0,4,70,20,350000000,5000000,-75.58930377,6.26874735
54,0,0,4,70,20,340000000,4857143,-75.58930377,6.26874735
55,0,0,4,48,11,270000000,5625000,-75.59086143,6.26926496
56,0,0,4,89,14,450000000,5056180,-75.59043285,6.26973696
57,0,0,4,52,13,270000000,5192308,-75.59178686,6.27006898
58,0,0,4,71,16,345000000,4859155,-75.59139901,6.27051874
59,0,0,4,67,15,340000000,5074627,-75.59139901,6.27051874
